model,split,accuracy,precision,recall,f1,roc_auc
logistic_regression,val,0.7854077253218884,0.8006872852233677,0.8472727272727273,0.823321554770318,0.8765349833412661
logistic_regression,test,0.7880085653104925,0.7894736842105263,0.8727272727272727,0.8290155440414507,0.8915719696969696
random_forest,val,0.8047210300429185,0.859375,0.8,0.8286252354048964,0.8863493574488339
random_forest,test,0.8179871520342612,0.8625954198473282,0.8218181818181818,0.8417132216014898,0.9050284090909091
gradient_boosting,val,0.8047210300429185,0.8538461538461538,0.8072727272727273,0.8299065420560747,0.8996192289386007
gradient_boosting,test,0.8372591006423983,0.8698884758364313,0.850909090909091,0.8602941176470589,0.9160227272727274
