"Player_initial_last";"tournament id";"pos";"strokes";"n_rounds";"made_cut";"sg_ott";"sg_app";"sg_arg";"sg_putt";"sg_total"
"A. Ancer";401353224;"32";289;4;1;0.86;-0.08;-0.13;0.2;0.85
"A. Hadwin";401353224;"18";286;4;1;0.18;0.31;0.75;0.36;1.6
"A. Lahiri";401353224;"NA";147;2;0;0.37;-1.09;0.74;-0.56;-0.54
"A. Long";401353224;"NA";151;2;0;0.8;-0.02;-1.86;-1.46;-2.54
"A. Noren";401353224;"NA";148;2;0;0.19;-1.39;-0.36;0.53;-1.04
"A. Putnam";401353224;"NA";151;2;0;0.31;-2.02;0.14;-0.97;-2.54
"A. Rai";401353224;"26";287;4;1;-0.12;-1.32;0.74;2.05;1.35
"A. Schenk";401353224;"26";287;4;1;0.48;1.84;-0.01;-0.96;1.35
"A. Scott";401353224;"67";299;4;1;-1.04;2.0;-1.79;-0.82;-1.65
"A. Smalley";401353224;"NA";151;2;0;-0.65;0.71;-0.71;-1.89;-2.54
"A. Svensson";401353224;"45";291;4;1;0.26;-0.18;-0.02;0.28;0.35
"A. Wise";401353224;"2";279;4;1;0.18;1.96;0.05;1.16;3.35
"B. Hagy";401353224;"NA";155;2;0;-0.61;-1.41;-1.58;-0.94;-4.54
"B. Harman";401353224;"18";286;4;1;0.65;0.17;0.66;0.12;1.6
"B. Hoag";401353224;"NA";151;2;0;-0.42;-1.4;0.21;-0.93;-2.54
"B. Horschel";401353224;"1";275;4;1;0.84;1.25;1.31;0.95;4.35
"B. Hossler";401353224;"32";289;4;1;-0.03;-1.5;0.43;1.94;0.85
"B. Snedeker";401353224;"60";295;4;1;-0.92;-1.1;0.25;1.12;-0.65
"B. Steele";401353224;"10";284;4;1;0.86;1.26;-0.22;0.2;2.1
"B. Wu";401353224;"69";300;4;1;0.12;0.12;0.3;-2.44;-1.9
"C. Champ";401353224;"NA";149;2;0;0.36;-1.63;0.0;-0.27;-1.54
"C. Conners";401353224;"13";285;4;1;0.53;2.03;-0.47;-0.24;1.85
"C. Davis";401353224;"53";294;4;1;-0.6;0.88;-0.88;0.19;-0.4
"C. Hoffman";401353224;"NA";147;2;0;0.0;0.14;-0.47;-0.2;-0.54
"C. Howell III";401353224;"18";286;4;1;0.4;1.03;-0.36;0.52;1.6
"C. Kim";401353224;"67";299;4;1;0.19;0.53;-0.98;-1.4;-1.65
"C. Kirk";401353224;"53";294;4;1;0.45;-1.28;0.45;-0.02;-0.4
"C. Luck";401353224;"NA";151;2;0;-0.3;1.35;-0.1;-3.48;-2.54
"C. Morikawa";401353224;"NA";148;2;0;0.86;0.51;-1.99;-0.41;-1.04
"C. Ortiz";401353224;"64";296;4;1;-0.55;-0.8;-0.44;0.88;-0.9
"C. Pan";401353224;"53";294;4;1;-1.05;0.79;0.21;-0.36;-0.4
"C. Smith";401353224;"13";285;4;1;-0.49;0.17;1.38;0.75;1.76
"C. Tringale";401353224;"48";292;4;1;0.59;-0.67;0.35;-0.18;0.1
"C. Villegas";401353224;"53";294;4;1;-0.22;0.01;0.52;-0.71;-0.4
"C. Young";401353224;"60";295;4;1;0.89;-1.18;0.32;-0.68;-0.65
"D. Berger";401353224;"5";282;4;1;0.1;1.34;-0.5;1.65;2.6
"D. Ghim";401353224;"60";295;4;1;0.71;0.41;-1.17;-0.6;-0.65
"D. Lee";401353224;"NA";147;2;0;0.75;1.11;-0.65;-1.75;-0.54
"D. Lingmerth";401353224;"48";292;4;1;-0.24;1.05;-0.8;0.09;0.1
"D. Lipsky";401353224;"37";290;4;1;-0.43;0.31;0.27;0.46;0.6
"D. McCarthy";401353224;"5";282;4;1;-0.71;0.53;1.76;1.21;2.76
"D. Riley";401353224;"13";285;4;1;-0.29;1.28;0.12;0.73;1.85
"D. Willett";401353224;"NA";152;2;0;-0.74;-1.71;0.55;-1.14;-3.04
"E. Grillo";401353224;"32";289;4;1;1.28;-1.0;1.04;-0.48;0.85
"F. Molinari";401353224;"26";287;4;1;-0.51;0.57;0.7;0.59;1.35
"G. Higgo";401353224;"18";286;4;1;0.1;1.68;-0.99;0.81;1.6
"G. Woodland";401353224;"NA";149;2;0;0.75;-0.86;-0.24;-1.19;-1.54
"H. English";401353224;"NA";154;2;0;-2.73;-1.49;-0.03;0.21;-4.04
"H. Swafford";401353224;"NA";151;2;0;-0.39;1.18;-3.01;-0.31;-2.54
"J. Dahmen";401353224;"32";289;4;1;0.42;-0.2;0.36;0.26;0.85
"J. Day";401353224;"31";288;4;1;0.13;-0.87;0.81;1.04;1.1
"J. Dufner";401353224;"NA";150;2;0;-0.26;-1.47;-0.34;0.04;-2.04
"J. Niemann";401353224;"3";281;4;1;1.18;1.58;-0.57;0.67;2.85
"J. Pak";401353224;"NA";153;2;0;-0.59;-0.96;-0.47;-1.51;-3.54
"J. Poston";401353224;"37";290;4;1;-0.3;0.61;-0.42;0.7;0.6
"J. Rahm";401353224;"10";284;4;1;-0.51;0.72;0.48;1.4;2.1
"J. Spieth";401353224;"18";286;4;1;0.37;-0.67;0.64;1.26;1.6
"J. Vegas";401353224;"37";290;4;1;0.3;0.46;0.11;-0.28;0.6
"K. Bradley";401353224;"37";290;4;1;0.2;0.07;-0.52;0.85;0.6
"K. Hickok";401353224;"64";296;4;1;0.05;-0.61;0.61;-0.94;-0.9
"K. Kitayama";401353224;"NA";147;2;0;0.91;-1.01;-0.28;-0.15;-0.54
"K. Lee";401353224;"53";294;4;1;-0.19;0.75;0.1;-1.06;-0.4
"K. Mitchell";401353224;"18";286;4;1;0.52;-0.19;0.61;0.65;1.6
"K. Streelman";401353224;"NA";149;2;0;0.29;0.76;-0.66;-1.94;-1.54
"L. Donald";401353224;"NA";147;2;0;-1.09;-0.91;-0.36;1.82;-0.54
"L. Glover";401353224;"60";295;4;1;0.29;-0.64;-0.41;0.1;-0.65
"L. Griffin";401353224;"51";293;4;1;-0.87;0.1;0.64;-0.02;-0.15
"L. Herbert";401353224;"48";292;4;1;-0.3;-1.14;0.87;0.67;0.1
"L. List";401353224;"26";287;4;1;-0.17;0.31;0.52;0.68;1.35
"M. Fitzpatrick";401353224;"NA";147;2;0;1.18;1.13;0.94;-3.79;-0.54
"M. Homa";401353224;"5";282;4;1;0.11;0.73;0.67;1.09;2.6
"M. Hughes";401353224;"37";290;4;1;-1.07;0.46;0.87;0.34;0.6
"M. Jones";401353224;"NA";149;2;0;0.38;1.34;-0.87;-2.38;-1.54
"M. Kuchar";401353224;"45";291;4;1;-0.51;-0.35;0.34;0.86;0.35
"M. Laird";401353224;"37";290;4;1;-0.03;0.46;0.61;-0.44;0.6
"M. Leishman";401353224;"NA";149;2;0;-0.12;-1.39;-0.8;0.78;-1.54
"M. NeSmith";401353224;"37";290;4;1;0.11;0.63;-0.24;0.1;0.6
"M. Pereira";401353224;"13";285;4;1;0.84;1.12;0.42;-0.53;1.85
"M. Wolff";401353224;"NA";148;2;0;-0.45;-1.91;0.28;1.05;-1.04
"N. Lashley";401353224;"NA";149;2;0;1.13;-1.77;-1.27;0.37;-1.54
"N. Watney";401353224;"NA";158;2;0;-3.01;-0.97;-1.02;-1.04;-6.04
"P. Cantlay";401353224;"3";281;4;1;0.7;0.79;0.26;1.09;2.85
"P. Kizzire";401353224;"NA";156;2;0;-1.54;0.29;-1.06;-2.73;-5.04
"P. Malnati";401353224;"NA";150;2;0;-0.17;-3.11;0.39;0.85;-2.04
"P. Perez";401353224;"26";287;4;1;-0.45;0.69;0.8;0.3;1.35
"P. Reed";401353224;"53";294;4;1;-0.13;-0.64;0.85;-0.48;-0.4
"P. Rodgers";401353224;"NA";149;2;0;0.91;-1.34;-0.64;-0.46;-1.54
"R. Brehm";401353224;"NA";156;2;0;-0.65;-2.5;-1.57;-0.32;-5.04
"R. Cabrera Bello";401353224;"NA";148;2;0;-0.88;-2.13;1.16;0.82;-1.04
"R. Fowler";401353224;"64";296;4;1;0.16;0.01;-0.28;-0.8;-0.9
"R. Knox";401353224;"NA";157;2;0;-1.45;-1.57;-0.78;-1.74;-5.54
"R. Moore";401353224;"70";303;4;1;-0.78;-0.54;-0.61;-0.73;-2.65
"R. Palmer";401353224;"NA";160;2;0;-1.4;-4.04;-0.62;-0.98;-7.04
"R. Streb";401353224;"NA";147;2;0;0.73;-0.45;-0.94;0.13;-0.54
"S. Cink";401353224;"NA";152;2;0;0.21;-3.01;-1.23;0.99;-3.04
"S. Im";401353224;"10";284;4;1;0.66;0.91;0.15;0.38;2.1
"S. Kim";401353224;"13";285;4;1;0.46;0.1;0.94;0.35;1.85
"S. Lowry";401353224;"32";289;4;1;-0.15;0.32;0.5;0.18;0.85
"S. Power";401353224;"NA";148;2;0;0.38;0.64;-0.09;-1.97;-1.04
"S. Ryder";401353224;"NA";147;2;0;0.5;0.66;-0.05;-1.64;-0.54
"S. Stallings";401353224;"NA";152;2;0;-0.12;-0.78;-0.16;-1.98;-3.04
"S. Straka";401353224;"45";291;4;1;0.06;0.0;-0.52;0.81;0.35
"S. Theegala";401353224;"5";282;4;1;0.65;1.48;0.4;0.06;2.6
"T. Hoge";401353224;"NA";149;2;0;-0.57;0.12;-1.16;0.07;-1.54
"T. Merritt";401353224;"53";294;4;1;-0.03;-0.55;0.17;0.0;-0.4
"T. Moore";401353224;"NA";152;2;0;-0.8;-0.75;-1.18;-0.31;-3.04
"V. Hovland";401353224;"51";293;4;1;0.1;-0.22;-1.49;1.46;-0.15
"W. Clark";401353224;"37";290;4;1;-0.54;0.04;1.07;0.03;0.6
"W. McGirt";401353224;"NA";147;2;0;0.29;-0.34;-0.66;0.17;-0.54
"W. Zalatoris";401353224;"5";282;4;1;1.16;1.19;-0.13;0.37;2.6
"X. Schauffele";401353224;"18";286;4;1;-0.63;1.88;0.7;-0.35;1.6
"A. Ancer";401353225;"NA";142;2;0;0.24;-0.36;0.58;-1.17;-0.7
"A. Long";401353225;"35";281;4;1;-0.33;1.49;0.04;-0.58;0.62
"A. Putnam";401353225;"15";277;4;1;-0.34;-0.1;0.98;1.08;1.62
"A. Rai";401353225;"68";289;4;1;-0.39;-0.05;-0.34;-0.6;-1.38
"A. Schenk";401353225;"NA";142;2;0;0.01;-1.5;0.17;0.62;-0.7
"A. Smalley";401353225;"27";280;4;1;0.13;-0.39;1.13;0.01;0.87
"A. Svensson";401353225;"40";282;4;1;0.2;0.54;-0.76;0.39;0.37
"B. Haas";401353225;"27";280;4;1;0.11;-0.24;0.07;0.94;0.87
"B. Harman";401353225;"NA";143;2;0;-0.08;-2.04;0.96;-0.04;-1.2
"B. Horschel";401353225;"NA";143;2;0;0.31;-0.78;-0.5;-0.22;-1.2
"B. Hossler";401353225;"21";278;4;1;0.39;0.68;0.56;-0.25;1.37
"B. Snedeker";401353225;"57";285;4;1;-1.09;0.82;0.01;-0.12;-0.38
"B. Stuard";401353225;"NA";143;2;0;-0.22;-0.61;0.67;-1.04;-1.2
"B. Todd";401353225;"3";272;4;1;0.66;0.39;0.49;1.33;2.87
"B. Wu";401353225;"NA";148;2;0;0.36;-1.87;-0.19;-2.0;-3.7
"C. Bezuidenhout";401353225;"15";277;4;1;-0.03;1.3;-0.57;0.92;1.62
"C. Davis";401353225;"7";275;4;1;0.33;0.81;0.47;0.52;2.12
"C. Hoffman";401353225;"66";287;4;1;0.24;0.95;-0.54;-1.53;-0.88
"C. Kirk";401353225;"15";277;4;1;0.42;0.03;0.63;0.54;1.62
"C. Morikawa";401353225;"40";282;4;1;-0.39;1.41;0.21;-0.86;0.37
"C. Ortiz";401353225;"NA";142;2;0;-0.06;-1.77;-0.17;1.31;-0.7
"C. Pan";401353225;"52";284;4;1;-0.68;0.54;-0.74;0.75;-0.13
"C. Reavie";401353225;"27";280;4;1;0.6;0.41;0.41;-0.55;0.87
"C. Tringale";401353225;"NA";144;2;0;0.38;-0.78;-0.49;-0.81;-1.7
"C. Villegas";401353225;"NA";142;2;0;0.2;-0.72;0.49;-0.66;-0.7
"D. Berger";401353225;"23";279;4;1;0.17;0.53;0.96;-0.53;1.12
"D. Frittelli";401353225;"35";281;4;1;0.28;0.34;-0.23;0.23;0.62
"D. Ghim";401353225;"NA";151;2;0;-0.01;-1.19;-1.65;-2.35;-5.2
"D. Lee";401353225;"23";279;4;1;-0.37;-0.91;0.73;1.67;1.12
"D. Lipsky";401353225;"48";283;4;1;-0.06;0.02;-0.38;0.55;0.12
"D. McCarthy";401353225;"27";280;4;1;-0.25;-0.1;0.01;1.22;0.87
"D. Redman";401353225;"NA";145;2;0;-0.01;0.22;-1.6;-0.81;-2.2
"D. Riley";401353225;"4";273;4;1;-0.09;1.91;0.28;0.51;2.62
"E. Compton";401353225;"NA";147;2;0;-0.99;-1.18;-1.74;0.72;-3.2
"E. Grillo";401353225;"63";286;4;1;0.29;0.06;-0.15;-0.83;-0.63
"G. Higgo";401353225;"NA";146;2;0;0.3;-0.29;-0.99;-1.72;-2.7
"G. Sigg";401353225;"NA";145;2;0;-0.17;0.32;-1.03;-1.32;-2.2
"G. Woodland";401353225;"NA";144;2;0;0.12;-0.16;-0.59;-1.07;-1.7
"H. Buckley";401353225;"NA";148;2;0;0.15;-3.02;-0.08;-0.75;-3.7
"H. Higgs";401353225;"69";295;4;1;-1.42;-1.28;0.22;-0.39;-2.88
"H. Varner III";401353225;"27";280;4;1;-0.23;0.09;0.61;0.4;0.87
"I. Poulter";401353225;"40";282;4;1;0.28;-1.31;0.12;1.29;0.37
"J. Dahmen";401353225;"63";286;4;1;-0.12;0.37;-0.46;-0.42;-0.63
"J. Dufner";401353225;"NA";143;2;0;-0.78;-0.1;0.44;-0.76;-1.2
"J. Hahn";401353225;"NA";149;2;0;0.06;-3.2;-0.52;-0.53;-4.2
"J. Huh";401353225;"12";276;4;1;0.38;0.88;0.93;-0.32;1.87
"J. Kokrak";401353225;"67";288;4;1;0.51;0.45;-1.23;-0.86;-1.13
"J. Pak";401353225;"NA";148;2;0;-0.67;-0.85;-0.92;-1.26;-3.7
"J. Poston";401353225;"NA";145;2;0;-1.63;0.04;-0.54;-0.07;-2.2
"J. Rose";401353225;"NA";143;2;0;-0.25;-0.82;0.71;-0.84;-1.2
"J. Spieth";401353225;"7";275;4;1;0.83;0.13;1.11;0.06;2.12
"J. Thomas";401353225;"NA";143;2;0;0.87;-2.41;0.41;-0.07;-1.2
"K. Hickok";401353225;"NA";142;2;0;-1.11;1.27;0.07;-0.93;-0.7
"K. Kisner";401353225;"NA";143;2;0;0.6;-0.76;0.09;-1.13;-1.2
"K. Kitayama";401353225;"40";282;4;1;0.58;-0.27;0.49;-0.43;0.37
"K. Lee";401353225;"NA";142;2;0;-0.53;0.55;0.55;-1.26;-0.7
"K. Na";401353225;"7";275;4;1;-0.97;1.96;0.79;0.34;2.12
"K. Streelman";401353225;"NA";145;2;0;0.09;0.63;-1.93;-0.99;-2.2
"K. Tway";401353225;"NA";147;2;0;-0.02;-2.01;-0.14;-1.03;-3.2
"L. Donald";401353225;"40";282;4;1;-0.85;0.71;0.77;-0.26;0.37
"L. Glover";401353225;"40";282;4;1;0.34;1.77;-0.23;-1.51;0.37
"L. Herbert";401353225;"48";283;4;1;-0.18;-0.63;0.83;0.1;0.12
"L. Hodges";401353225;"35";281;4;1;-0.02;0.77;-1.1;0.97;0.62
"M. Homa";401353225;"23";279;4;1;0.14;0.14;0.39;0.46;1.12
"M. Hubbard";401353225;"52";284;4;1;-0.38;-0.11;0.1;0.26;-0.13
"M. Jones";401353225;"12";276;4;1;0.24;1.58;0.3;-0.25;1.87
"M. McNealy";401353225;"NA";142;2;0;-0.49;0.13;0.16;-0.49;-0.7
"M. NeSmith";401353225;"57";285;4;1;-0.03;-0.07;-0.68;0.4;-0.38
"M. Pereira";401353225;"7";275;4;1;1.04;0.79;0.48;-0.18;2.12
"M. Schwab";401353225;"57";285;4;1;0.06;-1.13;0.74;-0.05;-0.38
"M. Thompson";401353225;"40";282;4;1;-0.53;-0.29;0.75;0.44;0.37
"M. Trainer";401353225;"52";284;4;1;-0.81;-0.81;-0.11;1.6;-0.13
"N. Lashley";401353225;"NA";144;2;0;0.22;-1.0;-0.03;-0.89;-1.7
"N. Taylor";401353225;"48";283;4;1;-0.43;1.18;-0.65;0.02;0.12
"N. Watney";401353225;"NA";147;2;0;-2.31;0.67;-2.05;0.5;-3.2
"P. Barjon";401353225;"NA";151;2;0;0.26;-3.59;-2.24;0.38;-5.2
"P. Kizzire";401353225;"NA";142;2;0;0.14;-0.61;0.0;-0.23;-0.7
"P. Malnati";401353225;"NA";143;2;0;-0.17;-0.97;1.4;-1.46;-1.2
"P. Perez";401353225;"12";276;4;1;0.26;-0.43;0.56;1.48;1.87
"P. Reed";401353225;"7";275;4;1;0.09;0.88;0.66;0.51;2.12
"P. Rodgers";401353225;"35";281;4;1;0.43;0.37;-0.52;0.34;0.62
"R. Brehm";401353225;"NA";146;2;0;0.06;-1.71;-0.77;-0.28;-2.7
"R. Fowler";401353225;"57";285;4;1;-0.96;-0.48;0.78;0.28;-0.38
"R. Knox";401353225;"15";277;4;1;0.04;0.38;0.48;0.73;1.62
"R. Palmer";401353225;"40";282;4;1;0.72;-0.09;-0.87;0.62;0.37
"R. Sabbatini";401353225;"52";284;4;1;-0.22;-0.6;0.6;0.09;-0.13
"R. Streb";401353225;"NA";145;2;0;-1.07;-0.01;-0.2;-0.91;-2.2
"S. Burns";401353225;"1";271;4;1;0.71;0.97;0.18;1.26;3.12
"S. Cink";401353225;"NA";142;2;0;0.25;0.12;-1.31;0.24;-0.7
"S. Im";401353225;"15";277;4;1;0.66;0.64;1.05;-0.72;1.62
"S. Jaeger";401353225;"NA";143;2;0;0.63;-1.18;-0.75;0.1;-1.2
"S. Munoz";401353225;"48";283;4;1;0.09;-0.29;-0.5;0.82;0.12
"S. Piercy";401353225;"NA";145;2;0;0.2;0.82;-0.99;-2.22;-2.2
"S. Ryder";401353225;"NA";142;2;0;-0.19;0.72;-0.41;-0.81;-0.7
"S. Scheffler";401353225;"2";271;4;1;1.03;1.37;0.58;0.14;3.12
"S. Stallings";401353225;"4";273;4;1;-0.11;1.94;-0.15;0.94;2.62
"S. Theegala";401353225;"57";285;4;1;-0.13;0.0;-0.05;-0.2;-0.38
"T. Duncan";401353225;"15";277;4;1;-0.17;0.36;0.59;0.84;1.62
"T. Finau";401353225;"4";273;4;1;0.62;1.23;0.01;0.77;2.62
"T. Fleetwood";401353225;"35";281;4;1;-0.38;0.42;0.4;0.19;0.62
"T. Gooch";401353225;"27";280;4;1;-0.48;0.65;0.78;-0.08;0.87
"T. Hoge";401353225;"NA";144;2;0;-0.61;-0.98;-0.47;0.36;-1.7
"T. Merritt";401353225;"57";285;4;1;-0.25;-0.99;-0.13;1.0;-0.38
"T. Moore";401353225;"NA";147;2;0;-0.04;-0.88;-0.87;-1.41;-3.2
"T. Mullinax";401353225;"NA";149;2;0;1.05;-1.58;-2.38;-1.3;-4.2
"T. Strafaci";401353225;"NA";149;2;0;-0.18;-2.03;-1.75;-0.24;-4.2
"V. Hovland";401353225;"21";278;4;1;0.73;0.23;-0.6;1.01;1.37
"V. Whaley";401353225;"NA";143;2;0;0.2;-0.68;-0.18;-0.53;-1.2
"W. Clark";401353225;"NA";142;2;0;0.59;-2.65;1.35;0.01;-0.7
"W. Simpson";401353225;"27";280;4;1;0.08;0.67;0.18;-0.06;0.87
"W. Zalatoris";401353225;"NA";143;2;0;1.68;-1.56;0.02;-1.33;-1.2
"Z. Johnson";401353225;"23";279;4;1;-0.03;0.19;0.93;0.03;1.12
"A. Ancer";401353226;"9";279;4;1;0.68;1.15;-0.22;0.97;2.58
"A. Beach";401353226;"NA";151;2;0;-1.65;0.21;-1.7;0.35;-2.78
"A. Cejka";401353226;"NA";151;2;0;-1.39;-1.1;0.22;-0.51;-2.78
"A. Hadwin";401353226;"71";292;4;1;-0.98;-0.08;0.4;-0.01;-0.67
"A. Lahiri";401353226;"NA";146;2;0;0.75;1.36;0.21;-2.6;-0.28
"A. Noren";401353226;"NA";146;2;0;-0.66;-0.38;-0.47;1.22;-0.28
"A. Schenk";401353226;"41";285;4;1;-0.34;0.66;-0.4;1.15;1.08
"A. Scott";401353226;"NA";147;2;0;0.81;-0.11;-0.48;-1.01;-0.78
"A. Wise";401353226;"23";282;4;1;-0.02;0.8;-0.17;1.22;1.83
"B. Grace";401353226;"NA";145;2;0;0.17;-0.26;-0.21;0.51;0.22
"B. Harman";401353226;"34";284;4;1;-0.53;1.27;0.55;0.04;1.33
"B. Horschel";401353226;"68";290;4;1;-0.42;-0.62;0.86;0.01;-0.17
"B. Hossler";401353226;"69";291;4;1;0.15;-0.83;-0.71;0.96;-0.42
"B. Koepka";401353226;"55";288;4;1;-0.25;-0.53;-0.22;1.33;0.33
"B. Steele";401353226;"9";279;4;1;0.49;1.85;0.29;-0.06;2.58
"B. Watson";401353226;"30";283;4;1;0.39;1.24;0.29;-0.34;1.58
"B. Wiesberger";401353226;"30";283;4;1;0.26;1.12;0.35;-0.15;1.58
"C. Bezuidenhout";401353226;"NA";146;2;0;0.29;0.01;-0.2;-0.39;-0.28
"C. Champ";401353226;"NA";150;2;0;0.28;0.41;-1.48;-1.49;-2.28
"C. Conners";401353226;"NA";149;2;0;0.41;-1.96;-0.03;-0.21;-1.78
"C. Davis";401353226;"48";286;4;1;-0.24;0.12;0.52;0.43;0.83
"C. Kim";401353226;"NA";145;2;0;0.85;-0.52;-0.47;0.35;0.22
"C. Kirk";401353226;"5";277;4;1;0.42;1.01;1.25;0.39;3.08
"C. Morikawa";401353226;"55";288;4;1;0.37;0.27;0.31;-0.61;0.33
"C. Ortiz";401353226;"NA";154;2;0;-1.23;-2.65;-0.2;-0.21;-4.28
"C. Schwartzel";401353226;"60";289;4;1;-0.31;-0.38;0.0;0.77;0.08
"C. Smith";401353226;"13";280;4;1;0.7;2.42;0.16;-0.94;2.33
"C. Tringale";401353226;"41";285;4;1;0.38;0.03;-0.26;0.92;1.08
"C. Young";401353226;"3";276;4;1;1.75;0.65;0.39;0.53;3.33
"D. Berger";401353226;"NA";153;2;0;0.85;-1.54;0.54;-3.63;-3.78
"D. Burmester";401353226;"NA";147;2;0;0.73;-1.05;1.06;-1.52;-0.78
"D. Johnson";401353226;"NA";146;2;0;-0.87;1.96;0.28;-1.66;-0.28
"D. McCarthy";401353226;"48";286;4;1;-0.73;0.01;0.27;1.28;0.83
"D. Riley";401353226;"13";280;4;1;1.26;1.61;-0.47;-0.07;2.33
"F. Molinari";401353226;"55";288;4;1;-0.84;0.01;1.25;-0.08;0.33
"G. Higgo";401353226;"NA";150;2;0;-0.37;0.25;-0.57;-1.6;-2.28
"G. Woodland";401353226;"34";284;4;1;0.34;0.63;-0.51;0.87;1.33
"H. Higgs";401353226;"NA";145;2;0;0.56;-1.36;0.54;0.48;0.22
"H. Matsuyama";401353226;"60";289;4;1;0.18;-0.21;0.14;-0.04;0.08
"H. Stenson";401353226;"NA";145;2;0;0.26;1.32;-1.2;-0.17;0.22
"H. Swafford";401353226;"NA";148;2;0;-0.53;-0.68;0.46;-0.53;-1.28
"H. Varner III";401353226;"48";286;4;1;-0.09;0.97;1.22;-1.27;0.83
"I. Poulter";401353226;"NA";145;2;0;0.06;-0.27;-0.07;0.5;0.22
"J. Dahmen";401353226;"NA";149;2;0;-0.15;-1.78;0.25;-0.11;-1.78
"J. Daly";401353226;"NA";148;2;0;-0.97;-0.1;0.16;-0.38;-1.28
"J. Day";401353226;"55";288;4;1;0.13;-0.93;0.54;0.6;0.33
"J. Dufner";401353226;"NA";147;2;0;0.23;-1.78;1.23;-0.46;-0.78
"J. Harding";401353226;"71";292;4;1;-0.71;0.49;-0.5;0.04;-0.67
"J. Kim";401353226;"NA";154;2;0;-0.26;-1.93;0.95;-3.04;-4.28
"J. Kokrak";401353226;"60";289;4;1;0.49;-1.03;0.39;0.24;0.08
"J. Niemann";401353226;"23";282;4;1;0.84;-0.35;0.83;0.52;1.83
"J. Rahm";401353226;"48";286;4;1;1.83;-0.34;-0.63;-0.04;0.83
"J. Rose";401353226;"13";280;4;1;-0.22;1.29;0.2;1.06;2.33
"J. Spaun";401353226;"NA";145;2;0;-0.37;1.61;0.09;-1.1;0.22
"J. Spieth";401353226;"34";284;4;1;0.76;0.99;0.39;-0.81;1.33
"J. Thomas";401353226;"1";275;4;1;0.66;0.53;0.81;1.58;3.58
"J. Vegas";401353226;"NA";152;2;0;0.35;-1.13;-1.5;-1.0;-3.28
"K. Bradley";401353226;"48";286;4;1;0.74;0.14;0.31;-0.35;0.83
"K. Hickok";401353226;"69";291;4;1;0.15;0.24;-0.82;0.01;-0.42
"K. Kisner";401353226;"NA";145;2;0;0.48;-0.61;0.23;0.11;0.22
"K. Lee";401353226;"41";285;4;1;0.47;-0.03;0.02;0.62;1.08
"K. Mitchell";401353226;"34";284;4;1;1.52;0.1;-0.72;0.43;1.33
"K. Na";401353226;"23";282;4;1;-0.98;0.8;1.13;0.88;1.83
"K. Streelman";401353226;"41";285;4;1;0.26;-0.2;0.41;0.61;1.08
"L. Glover";401353226;"23";282;4;1;0.2;1.95;-0.04;-0.28;1.83
"L. Griffin";401353226;"60";289;4;1;-0.36;-0.2;-0.54;1.18;0.08
"L. Herbert";401353226;"13";280;4;1;0.14;-0.23;0.22;2.19;2.33
"L. List";401353226;"41";285;4;1;1.79;-0.67;-0.78;0.74;1.08
"L. Oosthuizen";401353226;"60";289;4;1;-0.07;-0.05;0.29;-0.1;0.08
"L. Westwood";401353226;"NA";146;2;0;0.54;0.78;-0.28;-1.33;-0.28
"M. Fitzpatrick";401353226;"5";277;4;1;0.48;0.18;1.17;1.25;3.08
"M. Homa";401353226;"13";280;4;1;0.18;1.73;-0.07;0.48;2.33
"M. Hughes";401353226;"NA";149;2;0;-0.87;-1.76;-0.53;1.38;-1.78
"M. Jones";401353226;"NA";150;2;0;0.08;-0.7;-0.61;-1.05;-2.28
"M. Kaymer";401353226;"NA";153;2;0;-0.92;-0.71;-0.46;-1.69;-3.78
"M. Kuchar";401353226;"34";284;4;1;0.01;-0.24;1.55;0.01;1.33
"M. Leishman";401353226;"34";284;4;1;0.7;-0.21;-0.03;0.88;1.33
"M. McNealy";401353226;"75";295;4;1;-0.65;-0.65;-0.85;0.72;-1.42
"M. Pereira";401353226;"3";276;4;1;0.22;1.52;0.21;1.37;3.33
"M. Wolff";401353226;"NA";153;2;0;-0.6;-1.4;-2.53;0.74;-3.78
"P. Cantlay";401353226;"NA";151;2;0;0.19;-0.68;-0.37;-1.93;-2.78
"P. Harrington";401353226;"NA";152;2;0;-0.89;0.17;-0.01;-2.56;-3.28
"P. Kizzire";401353226;"75";295;4;1;-1.06;-0.54;-0.53;0.7;-1.42
"P. Reed";401353226;"34";284;4;1;-0.68;1.29;0.64;0.08;1.33
"R. Beem";401353226;"NA";147;2;0;-0.91;-0.61;0.28;0.46;-0.78
"R. Brehm";401353226;"NA";149;2;0;0.9;0.81;-1.03;-2.46;-1.78
"R. Fowler";401353226;"23";282;4;1;0.47;0.4;1.42;-0.46;1.83
"R. Fox";401353226;"54";287;4;1;0.03;1.42;-0.7;-0.16;0.58
"R. Henley";401353226;"60";289;4;1;-0.33;-0.07;0.64;-0.17;0.08
"R. Hoshino";401353226;"60";289;4;1;-0.33;-0.45;-0.04;0.9;0.08
"R. Kinoshita";401353226;"NA";151;2;0;-0.58;-0.4;0.0;-1.81;-2.78
"R. Knox";401353226;"NA";146;2;0;0.58;-0.49;0.33;-0.7;-0.28
"R. Palmer";401353226;"NA";145;2;0;0.16;0.16;0.13;-0.24;0.22
"R. Vermeer";401353226;"NA";151;2;0;-1.64;-0.46;0.7;-1.38;-2.78
"S. Burns";401353226;"20";281;4;1;0.3;1.03;-0.53;1.28;2.08
